Month,Region,Main_Category,Sub_Category,Product_Line,Price_Tier,Units_Sold,Revenue_USD,Online_Sales_Percentage,Retail_Price,Retail_Sales_Percentage
January,South Korea,Apparel,Performance,Compression Wear,Premium,10277,1233240,70,120,30
September,America,Footwear,Running,Air Zoom,Premium,26396,6862960,50,260,50
October,America,Footwear,Lifestyle,Air Max,Premium,43122,7330740,76,170,24
April,Southeast Asia,Footwear,Basketball,KD Series,Premium,44636,5802680,81,130,19
December,India,Footwear,Football,Mercurial,Mid-Range,48740,5848800,83,120,17
December,Greater China,Apparel,Tops,Tech Fleece,Premium,38854,4662480,86,120,14
January,Southeast Asia,Apparel,Tops,Therma-FIT,Mid-Range,35377,4952780,90,140,10
March,India,Apparel,Outerwear,Windrunner,Budget,23608,6846320,69,290,31
July,Greater China,Apparel,Outerwear,Windrunner,Mid-Range,19958,3792020,78,190,22
February,Japan,Footwear,Basketball,LeBron Series,Mid-Range,46508,5580960,61,120,39
November,Greater China,Equipment,Accessories,Bags,Mid-Range,42942,6441300,60,150,40
May,Europe,Apparel,Performance,Compression Wear,Budget,41525,11627000,51,280,49
January,Southeast Asia,Footwear,Football,Mercurial,Budget,35468,4610840,72,130,28
November,Southeast Asia,Apparel,Tops,Tech Fleece,Premium,10473,2513520,65,240,35
October,South Korea,Footwear,Cricket,Vapor Cricket,Budget,36845,4421400,72,120,28
July,South Korea,Footwear,Football,Phantom Vision,Budget,19956,3791640,60,190,40
April,South Korea,Equipment,Accessories,Bags,Premium,28886,6354920,54,220,46
June,Japan,Equipment,Accessories,Bags,Premium,21063,5476380,89,260,11
October,Japan,Apparel,Performance,Dri-FIT,Premium,29308,4396200,77,150,23
September,Southeast Asia,Equipment,Bags,Gym Sack,Budget,27448,3568240,51,130,49
January,South Korea,Equipment,Bags,Backpack,Mid-Range,43996,7039360,81,160,19
March,India,Apparel,Performance,Compression Wear,Budget,12796,1663480,85,130,15
July,Southeast Asia,Equipment,Bags,Backpack,Mid-Range,20670,3513900,89,170,11
April,Japan,Equipment,Accessories,Bags,Budget,14434,4330200,77,300,23
March,America,Footwear,Lifestyle,Air Max,Premium,37917,7204230,86,190,14
April,America,Apparel,Tops,Therma-FIT,Premium,31268,2814120,61,90,39
November,Greater China,Apparel,Outerwear,Rain Jacket,Premium,27420,7403400,50,270,50
February,South Korea,Equipment,Bags,Backpack,Budget,49926,3494820,74,70,26
November,Southeast Asia,Apparel,Performance,Dri-FIT,Budget,38355,4219050,74,110,26
August,South Korea,Footwear,Basketball,KD Series,Budget,35303,7413630,81,210,19
January,South Korea,Footwear,Basketball,KD Series,Budget,9847,2067870,72,210,28
June,Europe,Apparel,Tops,Tech Fleece,Premium,21735,3042900,77,140,23
December,America,Footwear,Cricket,Vapor Cricket,Premium,45961,6434540,58,140,42
May,South Korea,Apparel,Outerwear,Windrunner,Mid-Range,18692,3364560,83,180,17
October,Greater China,Apparel,Outerwear,Windrunner,Premium,46766,9820860,60,210,40
March,Japan,Footwear,Lifestyle,Blazer,Mid-Range,6244,874160,86,140,14
February,India,Equipment,Socks,Performance Socks,Premium,30045,7210800,73,240,27
November,Japan,Footwear,Cricket,Vapor Cricket,Budget,29193,5838600,89,200,11
January,Greater China,Equipment,Bags,Gym Sack,Budget,17746,2839360,78,160,22
July,Japan,Apparel,Performance,Dri-FIT,Mid-Range,15402,4312560,85,280,15
February,America,Equipment,Socks,Crew Socks,Mid-Range,18455,3321900,87,180,13
February,Southeast Asia,Footwear,Football,Mercurial,Mid-Range,24769,6439940,52,260,48
February,South Korea,Apparel,Tops,Therma-FIT,Budget,5936,1009120,73,170,27
July,South Korea,Equipment,Bags,Backpack,Budget,23385,6781650,57,290,43
April,Southeast Asia,Apparel,Performance,Compression Wear,Mid-Range,46124,5073640,76,110,24
August,South Korea,Equipment,Accessories,Hats,Premium,10225,2760750,88,270,12
January,Southeast Asia,Equipment,Bags,Backpack,Budget,26666,3199920,85,120,15
October,India,Apparel,Outerwear,Rain Jacket,Mid-Range,42110,3789900,78,90,22
August,Europe,Equipment,Accessories,Bags,Premium,21473,2147300,81,100,19
November,Japan,Equipment,Bags,Gym Sack,Premium,34384,8939840,87,260,13
October,America,Equipment,Accessories,Hats,Premium,43980,9235800,52,210,48
November,America,Apparel,Performance,Dri-FIT,Premium,28721,8329090,61,290,39
February,Greater China,Footwear,Running,Air Zoom,Mid-Range,37079,8528170,68,230,32
April,South Korea,Equipment,Accessories,Bags,Premium,45351,7256160,75,160,25
February,India,Equipment,Socks,Crew Socks,Premium,22676,1814080,62,80,38
April,Europe,Apparel,Outerwear,Rain Jacket,Budget,13858,2217280,81,160,19
January,India,Apparel,Outerwear,Rain Jacket,Mid-Range,40440,11727600,70,290,30
December,India,Apparel,Outerwear,Rain Jacket,Budget,46682,12604140,62,270,38
June,Greater China,Footwear,Running,Pegasus,Premium,33156,8289000,73,250,27
January,America,Footwear,Football,Mercurial,Budget,40417,5658380,73,140,27
February,South Korea,Equipment,Bags,Gym Sack,Mid-Range,9747,2924100,55,300,45
March,Japan,Apparel,Outerwear,Rain Jacket,Premium,24860,4723400,63,190,37
September,South Korea,Footwear,Running,React Infinity,Premium,16375,1637500,71,100,29
August,Japan,Footwear,Football,Mercurial,Budget,39856,5181280,90,130,10
February,Europe,Equipment,Socks,Performance Socks,Mid-Range,6899,1172830,75,170,25
October,Europe,Equipment,Socks,Performance Socks,Budget,49804,12949040,77,260,23
May,Greater China,Equipment,Socks,Performance Socks,Premium,13232,1852480,53,140,47
January,Europe,Equipment,Bags,Gym Sack,Budget,47604,4284360,78,90,22
July,India,Footwear,Running,Air Zoom,Budget,12692,2157640,56,170,44
March,Greater China,Equipment,Socks,Crew Socks,Budget,37071,10009170,57,270,43
May,Europe,Footwear,Basketball,KD Series,Premium,15114,3476220,60,230,40
February,Europe,Equipment,Accessories,Hats,Premium,34848,8363520,76,240,24
March,Greater China,Apparel,Performance,Dri-FIT,Mid-Range,42072,5890080,80,140,20
December,Greater China,Equipment,Socks,Performance Socks,Premium,5713,628430,82,110,18
December,America,Equipment,Bags,Gym Sack,Mid-Range,45569,11392250,55,250,45
July,South Korea,Equipment,Bags,Gym Sack,Mid-Range,30671,8587880,50,280,50
March,America,Footwear,Basketball,LeBron Series,Mid-Range,44415,3997350,81,90,19
January,Japan,Apparel,Performance,Dri-FIT,Mid-Range,24773,2229570,55,90,45
May,America,Footwear,Running,React Infinity,Mid-Range,26398,3167760,68,120,32
August,India,Footwear,Running,React Infinity,Mid-Range,16191,2428650,83,150,17
October,Southeast Asia,Equipment,Bags,Gym Sack,Budget,18808,4325840,52,230,48
May,India,Equipment,Accessories,Hats,Budget,11893,2497530,71,210,29
October,Southeast Asia,Equipment,Bags,Backpack,Mid-Range,12640,2022400,51,160,49
January,South Korea,Footwear,Football,Mercurial,Mid-Range,24233,2665630,82,110,18
January,Europe,Equipment,Accessories,Bags,Mid-Range,42458,5519540,81,130,19
February,America,Footwear,Cricket,Vapor Cricket,Premium,13064,1437040,83,110,17
May,South Korea,Equipment,Bags,Backpack,Premium,47626,2381300,66,50,34
June,South Korea,Apparel,Tops,Tech Fleece,Budget,39659,3965900,70,100,30
June,Greater China,Apparel,Performance,Dri-FIT,Premium,24222,6782160,51,280,49
December,India,Footwear,Lifestyle,Air Force 1,Mid-Range,28038,1401900,63,50,37
October,Greater China,Footwear,Basketball,Air Jordan,Budget,11147,2117930,56,190,44
January,Europe,Footwear,Football,Mercurial,Budget,40691,2848370,58,70,42
January,South Korea,Footwear,Running,Air Zoom,Budget,38622,8496840,78,220,22
September,Japan,Equipment,Socks,Performance Socks,Budget,41336,9507280,66,230,34
January,Southeast Asia,Apparel,Performance,Dri-FIT,Budget,42094,9681620,73,230,27
July,India,Footwear,Cricket,Vapor Cricket,Mid-Range,41898,12150420,53,290,47
March,Southeast Asia,Footwear,Cricket,Vapor Cricket,Mid-Range,5250,577500,88,110,12
February,America,Apparel,Outerwear,Windrunner,Premium,43953,9669660,81,220,19
July,India,Equipment,Bags,Backpack,Premium,46169,3693520,77,80,23
November,South Korea,Footwear,Lifestyle,Air Max,Premium,10605,848400,87,80,13
July,America,Apparel,Outerwear,Rain Jacket,Mid-Range,11907,833490,75,70,25
June,Europe,Apparel,Outerwear,Windrunner,Mid-Range,15114,2267100,73,150,27
June,South Korea,Equipment,Bags,Backpack,Budget,11346,2269200,64,200,36
May,America,Equipment,Bags,Gym Sack,Budget,39458,2367480,65,60,35
December,Europe,Footwear,Lifestyle,Air Force 1,Mid-Range,49565,9417350,90,190,10
September,India,Equipment,Bags,Backpack,Mid-Range,31768,2859120,58,90,42
June,America,Equipment,Socks,Performance Socks,Mid-Range,20285,3448450,77,170,23
August,America,Apparel,Tops,Tech Fleece,Premium,25560,4345200,59,170,41
January,South Korea,Equipment,Accessories,Hats,Premium,19197,959850,57,50,43
November,Greater China,Equipment,Accessories,Bags,Premium,42901,9867230,85,230,15
February,South Korea,Equipment,Bags,Gym Sack,Mid-Range,39676,11506040,69,290,31
September,South Korea,Footwear,Cricket,Vapor Cricket,Premium,29252,8190560,61,280,39
June,America,Apparel,Outerwear,Windrunner,Mid-Range,40284,8862480,56,220,44
October,South Korea,Footwear,Basketball,LeBron Series,Mid-Range,27232,1361600,60,50,40
May,Europe,Equipment,Accessories,Hats,Premium,27370,4105500,77,150,23
December,Greater China,Equipment,Accessories,Hats,Premium,44238,3539040,54,80,46
June,America,Apparel,Outerwear,Windrunner,Mid-Range,45591,13221390,69,290,31
September,Southeast Asia,Equipment,Bags,Gym Sack,Mid-Range,47338,3313660,50,70,50
December,Japan,Footwear,Basketball,KD Series,Premium,27680,8304000,68,300,32
August,South Korea,Footwear,Lifestyle,Air Force 1,Premium,5580,1339200,66,240,34
February,America,Equipment,Accessories,Hats,Premium,48811,5369210,83,110,17
November,Japan,Equipment,Accessories,Bags,Premium,30797,5235490,65,170,35
June,South Korea,Apparel,Outerwear,Windrunner,Budget,26283,3416790,53,130,47
April,South Korea,Apparel,Outerwear,Rain Jacket,Premium,29724,3566880,62,120,38
April,Japan,Footwear,Basketball,Air Jordan,Budget,44272,5312640,54,120,46
February,Japan,Equipment,Accessories,Bags,Premium,6131,1042270,76,170,24
September,Japan,Footwear,Running,React Infinity,Budget,37824,6808320,51,180,49
July,America,Apparel,Performance,Dri-FIT,Budget,16989,5096700,83,300,17
August,Greater China,Apparel,Performance,Dri-FIT,Budget,37151,7058690,70,190,30
December,South Korea,Apparel,Outerwear,Windrunner,Budget,15325,766250,70,50,30
September,Greater China,Equipment,Socks,Crew Socks,Budget,18610,1488800,83,80,17
April,Japan,Equipment,Accessories,Hats,Premium,20585,4117000,55,200,45
January,Greater China,Equipment,Accessories,Bags,Premium,26079,4433430,58,170,42
April,Japan,Apparel,Performance,Dri-FIT,Mid-Range,37618,9028320,59,240,41
December,India,Equipment,Socks,Crew Socks,Budget,13549,2845290,87,210,13
July,Southeast Asia,Equipment,Accessories,Hats,Budget,42383,8052770,90,190,10
January,Southeast Asia,Footwear,Cricket,Vapor Cricket,Premium,23146,6712340,85,290,15
May,Greater China,Footwear,Cricket,Vapor Cricket,Budget,8911,891100,60,100,40
February,Greater China,Footwear,Lifestyle,Blazer,Budget,46488,13481520,65,290,35
June,Greater China,Footwear,Cricket,Vapor Cricket,Premium,26073,6778980,89,260,11
July,Southeast Asia,Footwear,Running,Pegasus,Premium,40904,10226000,87,250,13
January,Greater China,Equipment,Bags,Backpack,Premium,10167,2033400,69,200,31
December,Greater China,Apparel,Outerwear,Rain Jacket,Budget,33222,3654420,56,110,44
July,Southeast Asia,Footwear,Basketball,Air Jordan,Budget,9495,854550,79,90,21
March,Greater China,Footwear,Lifestyle,Air Force 1,Budget,16995,2549250,78,150,22
May,Japan,Apparel,Performance,Compression Wear,Mid-Range,14474,3039540,71,210,29
January,Japan,Apparel,Tops,Tech Fleece,Mid-Range,47176,2830560,83,60,17
January,Europe,Equipment,Accessories,Bags,Mid-Range,21835,6550500,88,300,12
October,Europe,Apparel,Outerwear,Rain Jacket,Mid-Range,12825,1410750,78,110,22
October,Greater China,Footwear,Football,Mercurial,Mid-Range,21269,6168010,75,290,25
February,Greater China,Footwear,Football,Mercurial,Budget,20301,3654180,50,180,50
August,Europe,Apparel,Outerwear,Windrunner,Mid-Range,19216,1921600,54,100,46
May,Europe,Equipment,Bags,Gym Sack,Mid-Range,18456,2214720,82,120,18
December,Greater China,Footwear,Basketball,KD Series,Premium,34245,9931050,65,290,35
November,Greater China,Equipment,Socks,Crew Socks,Premium,30282,3633840,70,120,30
July,Greater China,Footwear,Running,Air Zoom,Premium,28660,2006200,80,70,20
May,Greater China,Apparel,Tops,Tech Fleece,Budget,6123,1775670,55,290,45
November,Europe,Equipment,Accessories,Bags,Premium,35528,5684480,68,160,32
May,India,Footwear,Basketball,LeBron Series,Mid-Range,45334,4080060,51,90,49
June,Japan,Apparel,Outerwear,Windrunner,Budget,22636,5885360,68,260,32
November,South Korea,Footwear,Lifestyle,Blazer,Budget,11440,2288000,88,200,12
December,India,Equipment,Bags,Backpack,Budget,24771,5697330,59,230,41
January,Greater China,Apparel,Tops,Tech Fleece,Premium,31290,1564500,87,50,13
September,Europe,Equipment,Bags,Backpack,Premium,30892,1544600,65,50,35
February,America,Footwear,Lifestyle,Air Max,Budget,6954,904020,74,130,26
November,Europe,Footwear,Cricket,Vapor Cricket,Budget,19555,977750,90,50,10
July,India,Footwear,Running,Air Zoom,Mid-Range,23503,4700600,76,200,24
May,Southeast Asia,Footwear,Running,React Infinity,Mid-Range,28850,1731000,87,60,13
January,Southeast Asia,Footwear,Football,Mercurial,Premium,32663,5226080,79,160,21
February,America,Footwear,Cricket,Vapor Cricket,Mid-Range,49549,14864700,75,300,25
June,America,Equipment,Socks,Crew Socks,Premium,45139,3159730,72,70,28
February,Europe,Footwear,Football,Phantom Vision,Budget,31673,2850570,74,90,26
October,Greater China,Equipment,Socks,Crew Socks,Premium,24125,1206250,69,50,31
September,Southeast Asia,Footwear,Lifestyle,Air Max,Premium,26971,6203330,64,230,36
May,Greater China,Equipment,Accessories,Hats,Budget,42633,5968620,52,140,48
January,Southeast Asia,Footwear,Running,Pegasus,Mid-Range,23653,5203660,89,220,11
June,South Korea,Apparel,Tops,Tech Fleece,Budget,32581,2280670,69,70,31
January,South Korea,Apparel,Performance,Compression Wear,Premium,44343,7538310,75,170,25
July,America,Equipment,Bags,Backpack,Budget,8291,663280,66,80,34
March,India,Footwear,Lifestyle,Air Max,Budget,24788,3718200,61,150,39
April,Greater China,Equipment,Accessories,Hats,Budget,41062,2874340,66,70,34
November,India,Equipment,Accessories,Hats,Budget,48229,13504120,62,280,38
October,Japan,Apparel,Performance,Compression Wear,Budget,25828,2582800,60,100,40
May,Greater China,Footwear,Running,Pegasus,Premium,47580,5709600,78,120,22
December,Southeast Asia,Footwear,Running,React Infinity,Mid-Range,48540,10193400,63,210,37
January,Greater China,Footwear,Lifestyle,Air Max,Budget,37975,2658250,53,70,47
November,Japan,Footwear,Lifestyle,Air Force 1,Budget,24267,5338740,58,220,42
September,Europe,Apparel,Performance,Dri-FIT,Premium,40029,2001450,71,50,29
June,Japan,Footwear,Football,Mercurial,Mid-Range,33407,4342910,70,130,30
September,Greater China,Equipment,Bags,Backpack,Premium,39670,3967000,90,100,10
July,India,Equipment,Accessories,Bags,Budget,8891,2044930,82,230,18
February,Southeast Asia,Footwear,Basketball,Air Jordan,Budget,39076,7424440,67,190,33
July,South Korea,Footwear,Lifestyle,Air Force 1,Mid-Range,23339,7001700,84,300,16
August,India,Equipment,Accessories,Hats,Budget,18192,5093760,74,280,26
December,Japan,Footwear,Football,Phantom Vision,Budget,18898,3968580,55,210,45
January,Europe,Apparel,Tops,Tech Fleece,Budget,6063,1455120,63,240,37
September,South Korea,Apparel,Tops,Tech Fleece,Budget,23137,3239180,54,140,46
May,Southeast Asia,Footwear,Cricket,Vapor Cricket,Mid-Range,24321,4134570,73,170,27
November,Greater China,Equipment,Bags,Gym Sack,Budget,49992,13997760,64,280,36
June,Japan,Equipment,Accessories,Bags,Mid-Range,40020,4002000,77,100,23
October,South Korea,Footwear,Football,Mercurial,Mid-Range,30270,1513500,85,50,15
September,America,Apparel,Performance,Compression Wear,Budget,20663,3719340,76,180,24
December,Greater China,Apparel,Tops,Therma-FIT,Mid-Range,46062,9212400,75,200,25
May,India,Apparel,Tops,Therma-FIT,Mid-Range,28564,8283560,61,290,39
March,South Korea,Footwear,Lifestyle,Air Max,Budget,42786,9840780,79,230,21
December,America,Equipment,Accessories,Bags,Budget,23802,1428120,67,60,33
February,Japan,Apparel,Tops,Therma-FIT,Mid-Range,49553,7432950,52,150,48
February,Europe,Equipment,Socks,Crew Socks,Budget,16158,3070020,57,190,43
November,Greater China,Footwear,Running,React Infinity,Mid-Range,49696,12424000,68,250,32
December,Southeast Asia,Apparel,Outerwear,Windrunner,Premium,6257,938550,53,150,47
July,Greater China,Footwear,Running,Air Zoom,Mid-Range,8970,627900,69,70,31
April,Greater China,Apparel,Outerwear,Rain Jacket,Premium,43178,9499160,59,220,41
May,Greater China,Footwear,Lifestyle,Blazer,Budget,6327,316350,79,50,21
July,Southeast Asia,Footwear,Lifestyle,Air Force 1,Premium,5233,313980,55,60,45
May,South Korea,Equipment,Socks,Performance Socks,Premium,32171,9007880,75,280,25
February,India,Footwear,Football,Phantom Vision,Premium,20661,2479320,76,120,24
July,South Korea,Equipment,Bags,Gym Sack,Mid-Range,17561,1580490,54,90,46
December,Southeast Asia,Footwear,Basketball,KD Series,Mid-Range,46991,7988470,84,170,16
October,America,Equipment,Accessories,Bags,Premium,44384,2219200,73,50,27
January,Europe,Equipment,Bags,Gym Sack,Mid-Range,16104,4670160,81,290,19
October,South Korea,Equipment,Accessories,Hats,Mid-Range,9054,1810800,66,200,34
October,South Korea,Footwear,Football,Mercurial,Budget,30338,2730420,67,90,33
September,Japan,Apparel,Tops,Therma-FIT,Mid-Range,41932,9225040,85,220,15
February,Japan,Apparel,Performance,Compression Wear,Budget,31387,1883220,70,60,30
May,Greater China,Equipment,Socks,Performance Socks,Mid-Range,41568,4156800,80,100,20
June,Japan,Apparel,Performance,Dri-FIT,Mid-Range,14607,1898910,65,130,35
January,Greater China,Footwear,Cricket,Vapor Cricket,Premium,40801,7752190,81,190,19
October,India,Equipment,Accessories,Bags,Budget,6248,1437040,86,230,14
August,Europe,Equipment,Accessories,Hats,Mid-Range,24322,1702540,90,70,10
August,Southeast Asia,Apparel,Performance,Dri-FIT,Budget,22754,1592780,50,70,50
January,Southeast Asia,Equipment,Accessories,Bags,Budget,26422,6341280,75,240,25
November,India,Equipment,Socks,Crew Socks,Mid-Range,17729,4964120,90,280,10
April,Southeast Asia,Footwear,Cricket,Vapor Cricket,Premium,27108,7590240,56,280,44
April,America,Equipment,Socks,Performance Socks,Premium,10939,2406580,89,220,11
December,Japan,Apparel,Tops,Therma-FIT,Premium,5564,1613560,76,290,24
February,South Korea,Equipment,Accessories,Hats,Mid-Range,36239,2899120,57,80,43
February,Southeast Asia,Equipment,Accessories,Hats,Budget,12202,3660600,84,300,16
October,Japan,Apparel,Outerwear,Rain Jacket,Premium,42937,9875510,78,230,22
August,Southeast Asia,Equipment,Socks,Performance Socks,Budget,45014,9903080,73,220,27
August,America,Equipment,Bags,Gym Sack,Mid-Range,22727,4999940,70,220,30
May,Southeast Asia,Footwear,Basketball,LeBron Series,Premium,6052,605200,57,100,43
June,South Korea,Apparel,Tops,Tech Fleece,Mid-Range,36206,8689440,88,240,12
September,Japan,Equipment,Socks,Crew Socks,Budget,37822,9455500,55,250,45
January,South Korea,Footwear,Running,React Infinity,Mid-Range,21488,3867840,75,180,25
January,Greater China,Apparel,Performance,Dri-FIT,Mid-Range,42388,3814920,88,90,12
March,Europe,Apparel,Performance,Dri-FIT,Mid-Range,15005,4051350,65,270,35
June,Japan,Footwear,Football,Phantom Vision,Budget,26728,6949280,83,260,17
May,Europe,Apparel,Tops,Tech Fleece,Budget,39375,7875000,69,200,31
February,Europe,Equipment,Socks,Crew Socks,Mid-Range,10259,1949210,86,190,14
October,Europe,Apparel,Outerwear,Rain Jacket,Budget,43390,5206800,73,120,27
July,Southeast Asia,Apparel,Tops,Therma-FIT,Mid-Range,21699,1518930,75,70,25
November,Southeast Asia,Apparel,Performance,Dri-FIT,Mid-Range,41529,2491740,88,60,12
January,Europe,Footwear,Basketball,Air Jordan,Budget,48873,4887300,85,100,15
February,Japan,Apparel,Tops,Therma-FIT,Mid-Range,40890,8586900,67,210,33
April,Southeast Asia,Equipment,Accessories,Bags,Premium,11069,1549660,82,140,18
April,Southeast Asia,Apparel,Performance,Dri-FIT,Budget,14004,1400400,64,100,36
July,Japan,Apparel,Performance,Compression Wear,Budget,44925,9434250,86,210,14
July,America,Footwear,Cricket,Vapor Cricket,Mid-Range,31559,4102670,84,130,16
October,Japan,Footwear,Lifestyle,Blazer,Premium,30124,4518600,64,150,36
May,Southeast Asia,Apparel,Outerwear,Rain Jacket,Budget,42197,8861370,81,210,19
February,Greater China,Equipment,Socks,Performance Socks,Mid-Range,9846,1969200,65,200,35
July,Greater China,Apparel,Tops,Tech Fleece,Mid-Range,48881,6843340,54,140,46
March,South Korea,Equipment,Bags,Backpack,Budget,20261,3444370,71,170,29
November,America,Equipment,Socks,Performance Socks,Budget,10147,710290,64,70,36
March,Europe,Apparel,Tops,Tech Fleece,Mid-Range,39623,11886900,60,300,40
December,Europe,Equipment,Accessories,Bags,Premium,27059,6223570,76,230,24
April,Europe,Equipment,Accessories,Hats,Mid-Range,37570,10519600,68,280,32
September,India,Apparel,Performance,Compression Wear,Premium,11727,2110860,60,180,40
April,Japan,Footwear,Lifestyle,Air Force 1,Budget,27736,4160400,73,150,27
January,India,Apparel,Tops,Tech Fleece,Budget,10527,2947560,65,280,35
November,Japan,Apparel,Outerwear,Rain Jacket,Premium,44606,8475140,72,190,28
March,Southeast Asia,Apparel,Tops,Therma-FIT,Budget,21784,2396240,54,110,46
December,Japan,Footwear,Basketball,LeBron Series,Mid-Range,42082,5049840,72,120,28
June,South Korea,Equipment,Socks,Performance Socks,Mid-Range,36864,3317760,69,90,31
June,Japan,Equipment,Socks,Performance Socks,Premium,19496,3509280,83,180,17
July,India,Equipment,Socks,Crew Socks,Budget,31357,6584970,70,210,30
February,Japan,Apparel,Tops,Tech Fleece,Budget,7242,1375980,69,190,31
May,India,Footwear,Basketball,KD Series,Budget,30014,6002800,74,200,26
May,America,Equipment,Accessories,Hats,Premium,40125,12037500,89,300,11
February,India,Apparel,Tops,Tech Fleece,Mid-Range,43169,2590140,88,60,12
July,Southeast Asia,Apparel,Performance,Compression Wear,Mid-Range,35304,5648640,86,160,14
August,America,Footwear,Running,React Infinity,Budget,22851,3199140,50,140,50
November,South Korea,Equipment,Socks,Crew Socks,Premium,37209,5953440,57,160,43
July,Europe,Apparel,Outerwear,Rain Jacket,Premium,44025,4842750,83,110,17
March,India,Footwear,Basketball,KD Series,Budget,6731,403860,85,60,15
April,Japan,Equipment,Bags,Gym Sack,Budget,45787,5952310,73,130,27
March,Europe,Apparel,Performance,Compression Wear,Premium,17179,4638330,78,270,22
June,Europe,Equipment,Bags,Backpack,Budget,28407,1988490,71,70,29
July,Japan,Footwear,Basketball,LeBron Series,Premium,23375,5610000,64,240,36
February,Japan,Footwear,Running,React Infinity,Premium,39495,7504050,53,190,47
June,America,Equipment,Accessories,Bags,Mid-Range,11095,1886150,55,170,45
August,Greater China,Apparel,Performance,Dri-FIT,Budget,7317,585360,87,80,13
May,Greater China,Apparel,Tops,Tech Fleece,Premium,6153,676830,70,110,30
September,South Korea,Equipment,Accessories,Hats,Budget,25161,4277370,73,170,27
September,Europe,Apparel,Performance,Dri-FIT,Premium,24247,1212350,60,50,40
July,Japan,Footwear,Lifestyle,Air Force 1,Premium,32062,4809300,52,150,48
December,Greater China,Equipment,Accessories,Bags,Mid-Range,5748,287400,77,50,23
July,America,Equipment,Accessories,Hats,Premium,35610,8190300,82,230,18
February,India,Apparel,Tops,Tech Fleece,Premium,39308,10613160,82,270,18
